"","q","avg.loss.mu.est.DPMM_ng1","avg.loss.mu.est.DPMM_ng2","avg.loss.mu.est.DPMM_ng3","avg.loss.mu.est.DPMM_ng4","avg.loss.sigma2d.est.DPMM_ng1","avg.loss.sigma2d.est.DPMM_ng2","avg.loss.sigma2d.est.DPMM_ng3","avg.loss.sigma2d.est.DPMM_ng4","prob.2_ng1","prob.2_ng2","prob.2_ng3","prob.2_ng4","prob.3_ng1","prob.3_ng2","prob.3_ng3","prob.3_ng4"
"result.76",20,0.0385123759384624,0.0445549259428855,0.0477063964831533,0.0473263444024181,0.0314516817035861,0.038421476288396,0.0413861915107109,0.0403180609645529,0.021595669484017,0.199868040350984,0.147004531353362,0.132699277595624,0.000763172356624028,0.136730335745687,0.126498402122666,0.119466383676646
"result.77",20,0.130870711265141,0.14001473044328,0.141663285144725,0.139566418862481,0.0902671741205492,0.105659394414175,0.119013237639793,0.117427089656295,0.100406828846297,0.181584873786533,0.152635437179881,0.135391594616854,0.00384940583156676,0.109375950717431,0.126352332886145,0.120456836662312
"result.78",20,0.0827451397442201,0.095437826872161,0.0992721180620515,0.0992677255644995,0.0513841713282364,0.0615258648993762,0.0670153221532145,0.0673878163051047,0.0961623371086878,0.196658930984391,0.14619067283474,0.13250614131346,0.00547622854487257,0.1400384318524,0.126149610232397,0.11944276163182
"result.79",20,0.0768632842226233,0.0796892303969359,0.0828030790386953,0.083433004229984,0.028246088678766,0.0359362825783293,0.0392790486816968,0.0389189318200253,0.0111781398882077,0.192941913023223,0.147221168664678,0.132830113150326,0.000693530964101242,0.126693661756345,0.126071366442079,0.119718921425218
"result.80",20,0.09424622128934,0.0838672669245027,0.0850938183675766,0.08366782991205,0.229533632632135,0.218221103656966,0.240681820429432,0.226982739783067,0.0588210610262682,0.166158556994077,0.150892185756708,0.134731949923923,0.00310946476012412,0.100426262428332,0.126130993076522,0.120169110802953
"result.81",20,0.243479546055934,0.215940909244972,0.223261273175671,0.22572639490906,0.0546577620648575,0.0794393058904141,0.0891136978262686,0.088847913034771,0.0343362100699406,0.199547030825076,0.148252148889924,0.133461752931594,0.00244867359888093,0.129238999142862,0.126621449328177,0.119932954941754
"result.82",20,0.449244705596408,0.500358704911357,0.519297627669841,0.53440253384445,72.1473321327685,90.1122022538737,89.3486782647807,86.7080077063315,0.094546434411715,0.148327941728017,0.153466017623345,0.136020653760324,0.00667095328985799,0.0915734819378894,0.12519251131436,0.120438583686185
"result.83",20,0.115399879600932,0.106857792020052,0.112276505226866,0.108817809548254,0.0526635666678113,0.0533385081963303,0.0567891885499266,0.0584554898625813,0.0598668402973141,0.171523909390508,0.151186462025361,0.134547009184491,0.00334502711635757,0.104159514158251,0.125923069431252,0.120027950826644
"result.84",20,0.0379783092396759,0.0431672298650812,0.047741528925024,0.0490338629592109,0.0254549439518563,0.0468814709180158,0.0762053295850778,0.0896060402074831,0.104782154988801,0.161815291161799,0.153171170117862,0.135613066621622,0.00395336684751555,0.0981780166650124,0.125546394077312,0.119992120983644
"result.85",20,0.159913697105243,0.171836008558722,0.185623776272252,0.188791682020684,0.136866226130937,0.130256871474989,0.137316022088679,0.133649383563666,0.105449402403353,0.160385033835892,0.151554272372834,0.135518098274618,0.00444307710661323,0.0980830927720349,0.124768454422842,0.12001201183693
"result.86",20,0.0801597791667981,0.0631696333342791,0.067115874210076,0.0681058714975769,0.0528420332301363,0.0549555096180432,0.0682297632104871,0.0696464313256567,0.0454455425069609,0.186177807079653,0.150505383442895,0.134166127234092,0.00218292876110851,0.114452776837603,0.126789199254033,0.119908749060468
"result.87",20,0.0567696195337923,0.0580438133183586,0.0597040202464051,0.0606628178207002,0.121095271195487,0.182634982769165,0.203823474714878,0.211299719593171,0.0206084924145137,0.19289054738816,0.147526062753649,0.132970650058963,0.000900886879561357,0.12793621401268,0.126042747540969,0.119567070622364
"result.88",20,0.172015188851897,0.174498718889186,0.17851498959816,0.179550707904861,0.162151476912009,0.194109999956411,0.214182995874618,0.198124953906543,0.0883156694839769,0.183436891742831,0.152903855906423,0.135335733864794,0.00385519671063035,0.108897171093533,0.126447047625367,0.120125072529685
"result.89",20,0.0615728841886464,0.0570525892856086,0.0622726921793156,0.0617999238112587,0.0830066135036894,0.0936077843875086,0.105372265161578,0.106508358097793,0.0676496599810434,0.179105014084198,0.151723146433094,0.134393570987691,0.0043231844321645,0.109684993765227,0.126662795417043,0.119926261651268
"result.90",20,0.120211413396619,0.133501530291306,0.138539948206755,0.137661280445312,0.0423140702165723,0.0463643846110277,0.0470609743101359,0.046441185860963,0.0221773905039632,0.200114311945681,0.147355773575365,0.133088072406615,0.000910510243846582,0.134719307780657,0.126542329629529,0.119645962667328
